"Time(Sec)","F7(uV)","F8(uV)","Fz(uV)","T3(uV)","Pz(uV)","  O2(uV)","VEOG(mV)","HEOG(mV)","ECG(mV)","T4(uV)"
31.247917,-8.857727,16.822815,-2.288818,-6.065369,16.845703,12.634277,0.013916,0.04866,-0.066101,14.602661
31.25,-7.415771,10.276794,-4.463196,-3.662109,15.129089,11.032104,0.016296,0.043304,-0.070358,19.088745
31.25625,-3.341675,13.98468,4.188538,11.672974,18.791199,15.838623,0.010254,0.040695,-0.063217,15.060425
31.258333,4.005432,28.289795,13.000488,20.027161,30.326843,25.154114,0.011353,0.040283,-0.069992,23.895264
31.264583,9.178162,23.597717,12.428284,19.386292,27.648926,22.041321,0.015518,0.034424,-0.087158,13.938904
31.266667,7.644653,23.803711,12.062073,18.356323,26.344299,22.315979,0.012909,0.035339,-0.088623,5.653381
31.272917,1.075745,20.713806,9.407043,20.553589,25.108337,18.90564,0.02005,0.039734,-0.09549,16.548157
31.275,13.343811,29.090881,18.859863,32.432556,31.059265,23.620605,0.021973,0.035614,-0.095215,17.669678
31.28125,0.137329,24.604797,10.047913,11.375427,23.025513,16.319275,0.006821,0.041473,-0.114761,14.625549
31.283333,14.144897,29.090881,16.227722,18.15033,23.4375,14.694214,0.020279,0.029846,-0.112152,15.014648
31.289583,5.92804,19.821167,18.196106,18.4021,25.428772,21.537781,0.015884,0.03653,-0.098923,-7.553101
31.291667,7.026672,20.439148,19.798279,20.851135,27.008057,20.027161,0.019409,0.040649,-0.107162,36.323547
31.297917,2.952576,20.66803,14.465332,17.25769,19.706726,15.678406,0.016342,0.03891,-0.120529,7.804871
31.3,-0.801086,15.335083,10.116577,14.831543,16.113281,12.886047,0.014648,0.03067,-0.127441,0.938416
31.30625,-2.01416,21.308899,14.602661,23.18573,21.537781,23.803711,-0.001465,0.044586,-0.118607,21.972656
31.308333,15.678406,31.013489,26.779175,35.751343,29.960632,34.629822,0.014282,0.036621,-0.106201,23.460388
31.314583,21.972656,21.125793,12.794495,28.678894,17.074585,20.004272,0.020325,0.034607,-0.101852,12.886047
31.316667,5.699158,13.572693,5.630493,18.90564,13.046265,17.692566,0.016663,0.031998,-0.101303,4.669189
31.322917,-2.883911,16.456604,3.456116,4.463196,16.960144,20.896912,0.012955,0.037949,-0.101257,9.70459
31.325,-4.554749,20.874023,5.355835,8.010864,20.393372,23.918152,0.00705,0.04248,-0.102356,12.863159
31.33125,-5.92804,18.058777,4.211426,13.206482,16.571045,24.604797,0.009521,0.035202,-0.0867,13.137817
31.333333,-3.227234,12.084961,-0.205994,9.269714,11.398315,18.722534,0.015701,0.03717,-0.077408,12.153625
31.339583,-3.089905,19.248962,6.477356,19.065857,27.671814,28.083801,0.01236,0.044403,-0.040833,18.013
31.341667,1.876831,15.312195,9.750366,23.620605,35.293579,35.705566,0.016113,0.033966,-0.0401,21.995544
31.347917,-7.9422,17.601013,2.471924,10.528564,12.199402,17.39502,0.004898,0.029663,-0.008011,-25.131226
31.35,-11.993408,7.781982,-2.174377,4.188538,7.575989,12.748718,0.006592,0.037399,0.008194,-33.050537
31.35625,2.494812,23.300171,8.102417,8.468628,19.248962,20.622253,0.007416,0.049988,0.032227,-19.020081
31.358333,15.99884,30.807495,15.106201,19.477844,26.824951,27.351379,0.013641,0.045364,0.03923,-9.155273
31.364583,-0.457764,15.724182,2.288818,11.924744,18.013,20.828247,0.009521,0.028015,0.051636,20.622253
31.366667,4.211426,17.50946,4.188538,9.590149,16.181946,16.822815,0.022156,0.030029,0.060516,13.137817
31.372917,0.892639,17.326355,8.331299,7.9422,7.9422,8.171082,0.024902,0.03479,0.0802,13.183594
31.375,2.883911,15.380859,6.04248,13.000488,10.162354,12.176514,0.020325,0.040787,0.085373,9.429932
31.38125,10.368347,22.842407,9.635925,21.217346,12.199402,16.914368,0.019958,0.028107,0.087524,19.477844
31.383333,-3.913879,11.695862,-2.220154,9.864807,1.808167,7.621765,0.010254,0.033417,0.079651,15.220642
31.389583,4.966736,20.851135,11.604309,5.126953,12.519836,19.477844,0.012909,0.03067,0.084,11.100769
31.391667,5.0354,24.559021,16.044617,9.613037,17.166138,24.330139,0.004898,0.028793,0.093063,-1.075745
31.397917,9.819031,27.603149,14.350891,19.91272,21.995544,24.078369,0.009613,0.031036,0.087845,4.577637
31.4,16.273499,21.492004,15.701294,19.15741,22.93396,24.19281,0.0103,0.024719,0.083313,-12.680054
31.40625,-3.456116,10.185242,3.158569,17.944336,9.796143,15.220642,0.008972,0.026825,0.092926,21.080017
31.408333,-8.285522,15.518188,5.813599,21.629333,16.204834,22.087097,-0.001923,0.028381,0.095856,18.310547
31.414583,7.415771,14.671326,7.736206,11.535645,15.563965,20.095825,0.022202,0.025223,0.091507,5.630493
31.416667,2.174377,15.106201,6.889343,9.20105,17.829895,23.963928,0.018631,0.024399,0.076675,-15.930176
31.422917,5.332947,21.903992,8.583069,14.73999,9.361267,9.887695,0.025223,0.031998,0.088303,17.486572
31.425,11.169434,24.673462,15.014648,22.750854,17.944336,19.088745,0.022751,0.029114,0.08194,5.081177
31.43125,1.419067,22.544861,11.878967,17.967224,8.399963,11.695862,0.005676,0.024719,0.074707,23.483276
