"Time(Sec)","F7(uV)","F8(uV)","Fz(uV)","T3(uV)","Pz(uV)","  O2(uV)","VEOG(mV)","HEOG(mV)","ECG(mV)","T4(uV)"
32.583333,89.195251,-1.716614,38.17749,55.023193,28.518677,27.442932,0.077225,-0.180862,-0.096725,6.385803
32.589583,74.455261,2.952576,32.13501,47.424316,29.296875,24.467468,0.065643,-0.149185,-0.065277,0.205994
32.591667,75.508118,-6.156921,32.341003,52.91748,32.661438,26.802063,0.061798,-0.153351,-0.062851,14.99176
32.597917,63.62915,6.362915,36.849976,53.123474,36.231995,34.103394,0.049896,-0.140305,-0.065964,22.911072
32.6,44.952393,-0.50354,23.368835,36.16333,31.745911,29.846191,0.034744,-0.127075,-0.045639,22.453308
32.60625,56.396484,4.074097,26.802063,39.871216,37.513733,29.777527,0.020874,-0.11293,0.000961,12.405396
32.608333,61.775208,-1.625061,30.37262,45.066833,43.876648,36.437988,0.015335,-0.119888,0.007645,24.44458
32.614583,45.61615,-6.385803,21.514893,40.44342,43.075562,34.835815,0.000366,-0.118103,0.015701,9.727478
32.616667,44.219971,-10.505676,17.440796,40.878296,37.67395,28.97644,0.006317,-0.118011,0.024673,12.062073
32.622917,40.557861,-4.188538,16.387939,44.517517,38.040161,28.289795,-0.004395,-0.099655,0.042801,-50.331116
32.625,40.374756,2.540588,20.874023,44.059753,43.212891,35.110474,-0.014557,-0.094666,0.043488,-15.541077
32.63125,24.513245,-12.817383,4.486084,34.263611,32.066345,29.640198,-0.033508,-0.101212,0.048889,17.578125
32.633333,16.799927,-19.775391,-2.861023,31.608582,27.46582,25.337219,-0.040421,-0.094116,0.044724,16.433716
32.639583,41.496277,-10.299683,9.45282,28.816223,37.17041,35.064697,-0.0336,-0.094528,0.071823,6.134033
32.641667,49.598694,-3.890991,18.951416,40.168762,47.653198,45.547485,-0.030762,-0.089996,0.078827,5.607605
32.647917,26.229858,-9.841919,2.105713,36.849976,31.768799,28.633118,-0.038544,-0.086792,0.075897,10.322571
32.65,33.325195,-14.831543,0.640869,36.552429,30.944824,27.420044,-0.04303,-0.094299,0.075897,6.500244
